age,sport_licence,niveau_etude,revenu_estime_mois,historique_credits,risque_personnel,score_credit,loyer_mensuel,montant_pret,anciennete_compte_jours,region_Auvergne-Rhône-Alpes,region_Bretagne,region_Corse,region_Hauts-de-France,region_Normandie,region_Occitanie,region_Provence-Alpes-Côte d’Azur,region_Île-de-France,situation_familiale_célibataire,situation_familiale_divorcé,situation_familiale_marié,situation_familiale_veuf
73.0,0,5,857.0,3.0,0.11,615.0,1377.97,13157.101646368172,548.0,0,0,0,0,0,1,0,0,1,0,0,0
44.0,0,1,5245.0,2.0,0.79,666.8,10000.0,32408.309271881208,1008.0,0,0,0,0,0,0,0,1,1,0,0,0
71.0,0,6,3792.0,0.0,0.13,526.4,5000.0,17975.461375021725,1021.0,1,0,0,0,0,0,0,0,1,0,0,0
62.0,1,1,3291.0,4.0,0.32,572.0,10000.0,16004.737730594868,808.0,1,0,0,0,0,0,0,0,0,1,0,0
18.0,1,1,3893.0,1.0,0.66,541.2,4209.854,10437.682759868923,1138.0,0,0,1,0,0,0,0,0,1,0,0,0
65.0,0,1,2577.0,2.0,0.58,543.8,5000.0,500.0,1092.0,0,0,0,0,0,1,0,0,0,0,0,1
22.0,0,5,714.0,0.0,0.46,772.0,699.57,500.0,1125.0,0,1,0,0,0,0,0,0,1,0,0,0
54.0,1,0,2629.0,2.0,0.22,636.6,10000.0,500.0,1020.0,0,0,0,0,0,0,0,1,0,0,1,0
61.0,1,6,1572.0,2.0,0.85,356.0,5000.0,4494.300952230585,500.0,0,0,1,0,0,0,0,0,0,1,0,0
28.0,1,5,500.0,2.0,0.66,356.0,10000.0,500.0,1553.0,0,0,0,1,0,0,0,0,1,0,0,0
28.0,0,5,2847.0,3.0,0.37,611.0,518.38,22788.001263240207,2207.0,0,1,0,0,0,0,0,0,0,0,1,0
24.0,0,6,3440.0,2.0,0.14,633.0,3393.0,18070.091787237645,1290.0,0,0,0,0,0,0,1,0,0,0,1,0
42.0,1,2,4508.0,3.0,0.33,660.2,831.36,8464.616164954017,1870.0,0,1,0,0,0,0,0,0,1,0,0,0
